,Municipio,C_Postal,Latitud,Longitud
0,Valdemanco,28729,40.8722993,-3.6629577
1,Bustarviejo,28720,40.857568,-3.7092432
2,Cabanillas de la Sierra,28721,40.8220294,-3.6276061
3,Navalafuente,28729,40.8233408,-3.6748439
4,Lozoyuela-Navas-Sieteiglesias,28752,40.9270441,-3.6183504
5,Venturada,28729,40.7990504,-3.6224135
6,La Cabrera,28751,40.8655887,-3.615448199999999
7,Puebla de la Sierra,28190,41.0117046,-3.4451018
8,Prádena del Rincón,28191,41.0440748,-3.5404748
9,Montejo de la Sierra,28190,41.0595052,-3.5297283
10,La Hiruela,28191,41.07748480000001,-3.4551989
11,Horcajuelo de la Sierra,28191,41.0604083,-3.5459787
12,Alameda del Valle,28749,40.9187866,-3.8439011
13,Rascafría,28740,40.9049836,-3.8795305
14,Pinilla del Valle,28749,40.9306001,-3.8299106
15,Navarredonda y San Mamés,28739,40.9906493,-3.7260317
16,Lozoya,28742,40.9553281,-3.7969976
17,Canencia,28743,40.90722969999999,-3.7385701
18,Gargantilla del Lozoya y Pinilla de Buitrago,28739,40.9648298,-3.7079745
19,Garganta de los Montes,28743,40.9220447,-3.6857781
20,Berzosa del Lozoya,28194,40.9755539,-3.5236688
21,Robledillo de la Jara,28194,40.9523515,-3.5252214
22,El Berrueco,28192,40.8893089,-3.5629234
23,El Atazar,28189,40.9340533,-3.4709797
24,Cervera de Buitrago,28193,40.9218597,-3.5300444
25,Puentes Viejas,28195,40.964983,-3.583199
26,Somosierra,28756,41.1330027,-3.5824103
27,Robregordo,28755,41.10675,-3.593450799999999
28,Braojos de la Sierra,28737,41.0402585,-3.6429982
29,Buitrago del Lozoya,28730,40.989823,-3.6383114
30,Horcajo de la Sierra-Aoslos,28755,41.0672334,-3.5854235
31,Piñuécar-Gandullas,28737,41.0126127,-3.6012042
32,Madarcos,28755,41.0476701,-3.5820602
33,La Serna del Monte,28737,41.0307464,-3.6252632
34,Gascones,28737,41.0182682,-3.6417313
35,La Acebeda,28755,41.08637909999999,-3.623849
36,Villavieja del Lozoya,28739,41.0063444,-3.6711079
37,Patones,28189,40.8549585,-3.4849081
38,Redueña,28721,40.8163179,-3.6032704
39,El Vellón,28722,40.7674389,-3.581902
40,Torrelaguna,28180,40.8275222,-3.5395265
41,Torremocha de Jarama,28189,40.8421508,-3.4946603
